,Word,Count,Weight,Weight_Abs
11404,mortified,15,-1.7042886532909467,1.7042886532909467
10290,thereby,19,-1.7042886532909467,1.7042886532909467
11410,mutation,15,-1.7042886532909467,1.7042886532909467
11336,crier,15,-1.7042886532909467,1.7042886532909467
11078,inspite,16,-1.7042886532909467,1.7042886532909467
11614,diarrehea,15,-1.7042886532909467,1.7042886532909467
11039,evista,16,-1.7042886532909467,1.7042886532909467
5101,snappy,79,-1.7042886532909467,1.7042886532909467
11406,heartache,15,-1.7042886532909467,1.7042886532909467
11476,abroad,15,-1.7042886532909467,1.7042886532909467
9164,snorting,24,1.6969087283712088,1.6969087283712088
9399,fasciculations,23,1.6969087283712088,1.6969087283712088
5102,shortened,79,-1.6898999158388468,1.6898999158388468
4836,teachers,87,1.6819830781545333,1.6819830781545333
7260,erect,39,1.6761298182143534,1.6761298182143534
8388,efficiently,29,-1.6679210091200718,1.6679210091200718
3787,zofran,140,-1.6679210091200718,1.6679210091200718
11118,trich,16,-1.6679210091200718,1.6679210091200718
1653,dysfunction,527,1.6656561848671043,1.6656561848671043
5550,anhedonia,67,1.6553148310723718,1.6553148310723718
3217,niacin,185,1.6413388772163982,1.6413388772163982
8893,yup,26,-1.6301806811372248,1.6301806811372248
11539,suicidial,15,-1.6301806811372248,1.6301806811372248
828,daughter,1503,-1.6301806811372248,1.6301806811372248
11935,caved,14,-1.6301806811372248,1.6301806811372248
8396,nauseousness,29,-1.6301806811372248,1.6301806811372248
8537,tripled,28,-1.6301806811372248,1.6301806811372248
10038,tierd,20,-1.6301806811372248,1.6301806811372248
11200,devestating,16,-1.6301806811372248,1.6301806811372248
11122,dumbest,16,-1.6301806811372248,1.6301806811372248
11127,embarrased,16,-1.6301806811372248,1.6301806811372248
11348,minty,15,-1.6301806811372248,1.6301806811372248
5961,miscarriages,58,-1.6301806811372248,1.6301806811372248
12080,unfamiliar,13,-1.6301806811372248,1.6301806811372248
5285,bentyl,74,-1.6301806811372248,1.6301806811372248
11775,infomation,14,-1.6301806811372248,1.6301806811372248
6503,nightsweats,48,-1.6301806811372248,1.6301806811372248
11741,delivering,14,-1.6301806811372248,1.6301806811372248
11778,persuaded,14,-1.6301806811372248,1.6301806811372248
9445,yuk,23,-1.6301806811372248,1.6301806811372248
12081,sensativity,13,-1.6301806811372248,1.6301806811372248
5650,merck,64,1.6279158568842569,1.6279158568842569
7816,basketball,34,1.6279158568842569,1.6279158568842569
11318,discontinuance,15,1.6279158568842569,1.6279158568842569
8568,furthermore,28,1.6279158568842569,1.6279158568842569
8810,bingo,26,1.6279158568842569,1.6279158568842569
8803,angioplasty,26,1.6279158568842569,1.6279158568842569
9121,imho,25,1.6279158568842569,1.6279158568842569
11352,defined,15,1.6279158568842569,1.6279158568842569
12092,michigan,13,1.6279158568842569,1.6279158568842569
11226,cleveland,16,1.6279158568842569,1.6279158568842569
9228,snri's,24,1.6279158568842569,1.6279158568842569
9245,conjuction,24,1.6279158568842569,1.6279158568842569
11031,larynx,16,1.6279158568842569,1.6279158568842569
3349,pulmicort,172,1.6279158568842569,1.6279158568842569
8691,moreover,27,1.6279158568842569,1.6279158568842569
10858,clozaril,17,1.6279158568842569,1.6279158568842569
9394,organism,23,1.6279158568842569,1.6279158568842569
5221,cns,75,1.6279158568842569,1.6279158568842569
8300,barrett's,30,1.6279158568842569,1.6279158568842569
11490,elusive,15,1.6279158568842569,1.6279158568842569
7554,neurons,36,1.6279158568842569,1.6279158568842569
11990,opiod,14,1.6279158568842569,1.6279158568842569
10129,desoxyn,20,1.6279158568842569,1.6279158568842569
10365,installed,19,1.6279158568842569,1.6279158568842569
6731,bpd,45,1.6279158568842569,1.6279158568842569
11838,italy,14,1.6279158568842569,1.6279158568842569
11931,invisible,14,1.6279158568842569,1.6279158568842569
4313,teva,110,1.6279158568842569,1.6279158568842569
5021,beers,82,1.6279158568842569,1.6279158568842569
10121,motorcycle,20,1.6279158568842569,1.6279158568842569
10593,cetirizine,18,1.6279158568842569,1.6279158568842569
10145,tri's,19,1.6279158568842569,1.6279158568842569
11872,vicodan,14,1.6279158568842569,1.6279158568842569
10734,immitrex,17,1.6279158568842569,1.6279158568842569
10671,cafergot,18,1.6279158568842569,1.6279158568842569
10194,institute,19,1.6279158568842569,1.6279158568842569
4653,angina,95,1.6279158568842569,1.6279158568842569
9799,qualified,21,1.6279158568842569,1.6279158568842569
8181,texas,31,1.6279158568842569,1.6279158568842569
818,ortho,1540,-1.6001483940383496,1.6001483940383496
5452,weepiness,69,-1.5989281376331204,1.5989281376331204
5014,stents,82,1.5915482127133824,1.5915482127133824
9601,waz,22,-1.5909599679839437,1.5909599679839437
8707,peels,27,-1.5909599679839437,1.5909599679839437
10342,mlg,19,-1.5909599679839437,1.5909599679839437
1880,gyn,443,-1.5893586866169696,1.5893586866169696
5772,sperm,62,1.5870938623640019,1.5870938623640019
4090,marijuana,122,1.5841132342258644,1.5841132342258644
5569,anorexic,67,-1.5829277962866792,1.5829277962866792
10154,levothyroxin,19,-1.5775369476518029,1.5775369476518029
6313,gosh,52,-1.5775369476518029,1.5775369476518029
10538,astra,18,1.5766225624967067,1.5766225624967067
8406,reuptake,29,1.5766225624967067,1.5766225624967067
312,bleeding,5226,-1.575671275468853,1.575671275468853
7474,trace,37,-1.5736684708738824,1.5736684708738824
9430,sack,23,1.5707574430443088,1.5707574430443088
2225,density,343,-1.553337976194359,1.553337976194359
12107,wtih,13,-1.5501379734636882,1.5501379734636882
11739,violated,14,-1.5501379734636882,1.5501379734636882
11380,cloths,15,-1.5501379734636882,1.5501379734636882
12229,rattling,13,-1.5501379734636882,1.5501379734636882
12225,giggly,13,-1.5501379734636882,1.5501379734636882
12106,persevered,13,-1.5501379734636882,1.5501379734636882
12495,expelling,13,-1.5501379734636882,1.5501379734636882
12189,rethinking,13,-1.5501379734636882,1.5501379734636882
7161,lenses,40,-1.5501379734636882,1.5501379734636882
12270,todays,13,-1.5501379734636882,1.5501379734636882
12328,purged,13,-1.5501379734636882,1.5501379734636882
6867,mucinex,43,-1.5501379734636882,1.5501379734636882
